logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
100005,https://www.logainm.ie/100005.aspx,Ciarraí,Kerry,bilingual,CON,county,,,,52.0613016204603,-9.954670419318637,True,expected_county_root
100006,https://www.logainm.ie/100006.aspx,Cill Chainnigh,Kilkenny,bilingual,CON,county,,Kilkenny,,52.602108990327025,-7.273606868429554,True,expected_county_root
100007,https://www.logainm.ie/100007.aspx,Cill Dara,Kildare,bilingual,CON,county,,Kildare,,53.1822652696889,-6.821812966507047,True,expected_county_root
100008,https://www.logainm.ie/100008.aspx,Cill Mhantáin,Wicklow,bilingual,CON,county,,Wicklow,,52.951619202498875,-6.360298343533885,True,expected_county_root
100009,https://www.logainm.ie/100009.aspx,An Clár,Clare,bilingual,CON,county,,Clare,,52.86898045175932,-9.145111893360971,True,expected_county_root
100010,https://www.logainm.ie/100010.aspx,Corcaigh,Cork,bilingual,CON,county,,Cork,,51.729799719868204,-9.157338117780046,True,expected_county_root
100011,https://www.logainm.ie/100011.aspx,Doire,Derry,bilingual,CON,county,,Derry,,54.952597326786,-6.889463567598459,True,expected_county_root
100012,https://www.logainm.ie/100012.aspx,An Dún,Down,bilingual,CON,county,,Down,,54.3979546629299,-5.9063943106688,True,expected_county_root
100013,https://www.logainm.ie/100013.aspx,Dún na nGall,Donegal,bilingual,CON,county,,Donegal,,54.97200643944868,-7.982302945137205,True,expected_county_root
100014,https://www.logainm.ie/100014.aspx,Fear Manach,Fermanagh,bilingual,CON,county,,,,54.3422462155959,-7.64179611764251,True,expected_county_root
100015,https://www.logainm.ie/100015.aspx,Gaillimh,Galway,bilingual,CON,county,,Galway,,53.3644720663754,-9.450279819384416,True,expected_county_root
100016,https://www.logainm.ie/100016.aspx,An Iarmhí,Westmeath,bilingual,CON,county,,,,53.536287371975114,-7.417233254913264,True,expected_county_root
100017,https://www.logainm.ie/100017.aspx,Laois,Laois | Leix,bilingual,CON,county,,,,52.972273232471224,-7.316646172416013,True,expected_county_root
100018,https://www.logainm.ie/100018.aspx,Liatroim,Leitrim,bilingual,CON,county,,Leitrim,,54.1595429328057,-8.035560310977008,True,expected_county_root
100019,https://www.logainm.ie/100019.aspx,Loch Garman | An Contae Riabhach,Wexford,bilingual,CON,county,,Wexford,,52.35543694939258,-6.621476054865695,True,expected_county_root
100020,https://www.logainm.ie/100020.aspx,An Longfort,Longford,bilingual,CON,county,,Longford,,53.74941484630191,-7.670014310522689,True,expected_county_root
100021,https://www.logainm.ie/100021.aspx,Lú,Louth,bilingual,CON,county,,Louth,,53.928177501092534,-6.409286580255207,True,expected_county_root
100022,https://www.logainm.ie/100022.aspx,Luimneach,Limerick,bilingual,CON,county,,Limerick,,52.469936983460514,-8.661388791036499,True,expected_county_root
100023,https://www.logainm.ie/100023.aspx,Maigh Eo,Mayo,bilingual,CON,county,,Mayo,,53.987295222807745,-9.64793675798055,True,expected_county_root
100024,https://www.logainm.ie/100024.aspx,An Mhí,Meath,bilingual,CON,county,,,,53.65104752397514,-6.7484740318025365,True,expected_county_root
100025,https://www.logainm.ie/100025.aspx,Muineachán,Monaghan,bilingual,CON,county,,Monaghan,,54.1630406824028,-6.953381042885778,True,expected_county_root
100026,https://www.logainm.ie/100026.aspx,Port Láirge,Waterford,bilingual,CON,county,,Waterford,,52.15357922097847,-7.558602354818223,True,expected_county_root
100027,https://www.logainm.ie/100027.aspx,Ros Comáin,Roscommon,bilingual,CON,county,,Roscommon,,53.75564298423225,-8.347466307844767,True,expected_county_root
100028,https://www.logainm.ie/100028.aspx,Sligeach,Sligo,bilingual,CON,county,,Sligo,,54.21199001398363,-8.608817607221393,True,expected_county_root
100029,https://www.logainm.ie/100029.aspx,Tiobraid Árann,Tipperary,bilingual,CON,county,,Tipperary,,52.63172028509432,-7.940906577512779,True,expected_county_root
100030,https://www.logainm.ie/100030.aspx,Tír Eoghain,Tyrone,bilingual,CON,county,,,,54.6095672902852,-7.11332807279914,True,expected_county_root
100031,https://www.logainm.ie/100031.aspx,Uíbh Fhailí,Offaly,bilingual,CON,county,,,,53.170618910784704,-7.639174638819675,True,expected_county_root
1165969,https://www.logainm.ie/1165969.aspx,Cúige Chonnacht,Connaught,bilingual,CUIGE,province,,,,0,0,False,manual_or_spatial_review
1165970,https://www.logainm.ie/1165970.aspx,Cúige Laighean,Leinster,bilingual,CUIGE,province,,,,0,0,False,manual_or_spatial_review
1165971,https://www.logainm.ie/1165971.aspx,Cúige Mumhan,Munster,bilingual,CUIGE,province,,,,0,0,False,manual_or_spatial_review
1165972,https://www.logainm.ie/1165972.aspx,Cúige Uladh,Ulster,bilingual,CUIGE,province,,,,0,0,False,manual_or_spatial_review
1166502,https://www.logainm.ie/1166502.aspx,Muir Bhreatan,Saint George’s Channel,bilingual,CAOL,"channel, sound",,,,0,0,False,manual_or_spatial_review
1166503,https://www.logainm.ie/1166503.aspx,Muir Éireann,Irish Sea,bilingual,MUIR,sea,,,,0,0,False,manual_or_spatial_review
1374098,https://www.logainm.ie/1374098.aspx,Ceanannas (Tuath)  (cuid),Ceannanus Mor (Kells) Rural (part) | Kells,bilingual,TR,electoral division,,Meath,,53.72655485980694,-6.8724998973805995,True,recover_from_existing_hierarchy
1383738,https://www.logainm.ie/1383738.aspx,An Buinne Beag,Bunny Beg,bilingual,TR,electoral division,,,,53.956149149307954,-7.939277232900233,True,manual_or_spatial_review
1383740,https://www.logainm.ie/1383740.aspx,Carraig Álainn,Carrigallen,bilingual,TR,electoral division,,Leitrim,,53.99969868475151,-7.647274532069942,True,recover_from_existing_hierarchy
1403311,https://www.logainm.ie/1403311.aspx,Cluain Saileach,Clonsilla,bilingual,TR,electoral division,,Dublin,,53.38132759228291,-6.419027762921861,True,recover_from_existing_hierarchy
1403312,https://www.logainm.ie/1403312.aspx,Sord,Swords,bilingual,TR,electoral division,,Dublin,,53.4705465510432,-6.235461025054381,True,recover_from_existing_hierarchy
1403313,https://www.logainm.ie/1403313.aspx,An Chúlóg,Coolock,bilingual,TR,electoral division,,Dublin,,53.40291105718331,-6.18083544956587,True,recover_from_existing_hierarchy
1403314,https://www.logainm.ie/1403314.aspx,Cluain Dolcáin,Clondalkin,bilingual,TR,electoral division,,Dublin,,53.3311109548425,-6.40391804183313,True,recover_from_existing_hierarchy
1403315,https://www.logainm.ie/1403315.aspx,Ráth Michíl,Rathmichael,bilingual,TR,electoral division,,Dublin,,53.2261864205854,-6.16452985238325,True,recover_from_existing_hierarchy
1403318,https://www.logainm.ie/1403318.aspx,Caisleán Cnucha,Castleknock,bilingual,TR,electoral division,,Dublin,,0,0,False,recover_from_existing_hierarchy
1403319,https://www.logainm.ie/1403319.aspx,Mullach Íde,Malahide,bilingual,TR,electoral division,,Dublin,,53.4331652886757,-6.15164815122832,True,recover_from_existing_hierarchy
1403320,https://www.logainm.ie/1403320.aspx,An Teampall Geal,Whitechurch,bilingual,TR,electoral division,,Dublin,,53.259517184612,-6.307215241069589,True,recover_from_existing_hierarchy
1403321,https://www.logainm.ie/1403321.aspx,Baile Bhlainséir,Blanchardstown,bilingual,TR,electoral division,,Dublin,,53.41193130988831,-6.363541448375501,True,recover_from_existing_hierarchy
1403322,https://www.logainm.ie/1403322.aspx,Stigh Lorgan,Stillorgan,bilingual,TR,electoral division,,Dublin,,53.2771737154913,-6.161095385492359,True,recover_from_existing_hierarchy
1403323,https://www.logainm.ie/1403323.aspx,Fionnghlas,Finglas,bilingual,TR,electoral division,,Dublin,,53.430638914478,-6.313164500800341,True,recover_from_existing_hierarchy
1403324,https://www.logainm.ie/1403324.aspx,Leamhcán,Lucan,bilingual,TR,electoral division,,Dublin,,53.363489335162406,-6.44237562986781,True,recover_from_existing_hierarchy
1403325,https://www.logainm.ie/1403325.aspx,Tamhlacht,Tallaght,bilingual,TR,electoral division,,Dublin,,53.289743120056606,-6.38409198908314,True,recover_from_existing_hierarchy
1403326,https://www.logainm.ie/1403326.aspx,Tír an Iúir,Terenure,bilingual,TR,electoral division,,Dublin,,53.3081138464665,-6.32359280522249,True,recover_from_existing_hierarchy
1403335,https://www.logainm.ie/1403335.aspx,An Dúcharraig,Blackrock,bilingual,TR,electoral division,,Cork,,51.8814601408725,-8.45023849008523,True,recover_from_existing_hierarchy
1403353,https://www.logainm.ie/1403353.aspx,,Langans,english_only,TR,electoral division,,,,0,0,False,manual_or_spatial_review
1403368,https://www.logainm.ie/1403368.aspx,,Dunmanway,english_only,TR,electoral division,,,,51.72167327744041,-9.12197290087451,True,manual_or_spatial_review
1403824,https://www.logainm.ie/1403824.aspx,Sráidbhaile Bhaile Bhlainséir,Blanchardstown Village,bilingual,SR,street,,Dublin,TR:Blanchardstown,53.41193130988831,-6.363541448375501,True,recover_from_existing_hierarchy
1410527,https://www.logainm.ie/1410527.aspx,Gairdíní Bhaile na hAbhann,Riverstown Gardens,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1410771,https://www.logainm.ie/1410771.aspx,Oileán an Choraintín,"Ellis Island | Ellis Island, NY",bilingual,OIL,island or archipelago,,,,0,0,False,manual_or_spatial_review
1410871,https://www.logainm.ie/1410871.aspx,Banc Porcupine,Porcupine Bank,bilingual,SCEIR,reef,,,,53.240076134195554,-13.662555789869202,False,manual_or_spatial_review
1410905,https://www.logainm.ie/1410905.aspx,Í,Iona,bilingual,OIL,island or archipelago,,,,0,0,False,manual_or_spatial_review
1411083,https://www.logainm.ie/1411083.aspx,Loch na Praisce,Lough Naprasky,bilingual,L,lake or lakes,,,,0,0,False,manual_or_spatial_review
1414494,https://www.logainm.ie/1414494.aspx,,Gleann Chuilinn,english_only,MNG,minor feature,,,,0,0,False,manual_or_spatial_review
1414497,https://www.logainm.ie/1414497.aspx,,Stream,english_only,SRUTHAN,stream,,,,0,0,False,manual_or_spatial_review
1418305,https://www.logainm.ie/1418305.aspx,Proibhinse Mhullóg Hovland,Hovland Mound Province,bilingual,GNE,feature,,,,0,0,False,manual_or_spatial_review
1418306,https://www.logainm.ie/1418306.aspx,Proibhinse Mhullóg Belgica,Belgica Mound Province,bilingual,GNE,feature,,,,0,0,False,manual_or_spatial_review
1418575,https://www.logainm.ie/1418575.aspx,Cruachán,Croghan Mountain,bilingual,SL,mountain or mountain range,,,,0,0,False,manual_or_spatial_review
1420121,https://www.logainm.ie/1420121.aspx,Éire,Ireland,bilingual,?,unknown,,,,0,0,False,manual_or_spatial_review
1420122,https://www.logainm.ie/1420122.aspx,An Mhuir Cheilteach,Celtic Sea,bilingual,?,unknown,,,,0,0,False,manual_or_spatial_review
1420156,https://www.logainm.ie/1420156.aspx,Ceilbhe,,irish_only,AINMST,historical name,,,,0,0,False,manual_or_spatial_review
1420157,https://www.logainm.ie/1420157.aspx,Dún nGabhail,,irish_only,AINMST,historical name,,,,0,0,False,manual_or_spatial_review
1420158,https://www.logainm.ie/1420158.aspx,Carman,,irish_only,AINMST,historical name,,,,0,0,False,manual_or_spatial_review
1420159,https://www.logainm.ie/1420159.aspx,Loch Laomainn,Loch Lomond,bilingual,L,lake or lakes,,,,0,0,False,manual_or_spatial_review
1420160,https://www.logainm.ie/1420160.aspx,,Rockall,english_only,CRG,rock or rocks,,,,0,0,False,manual_or_spatial_review
1420161,https://www.logainm.ie/1420161.aspx,Tobar Sheangharman,,irish_only,AINMST,historical name,,,,0,0,False,manual_or_spatial_review
1420162,https://www.logainm.ie/1420162.aspx,Bealach nDuirghein,,irish_only,AINMST,historical name,,,,0,0,False,manual_or_spatial_review
