logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
1404239,https://www.logainm.ie/1404239.aspx,Siúlán na hAbhann,Riverwalk,bilingual,SR,street,Mayo | Sligo,Mayo | Sligo,CON:Mayo | BAR:Costello | CON:Sligo | PAR:Kilbeagh | CBA:Sligo–Drumcliff | B:Charlestown | TR:Collooney,53.9626523443324,-8.796882233362721,True,street_hierarchy_conflict_review
1404314,https://www.logainm.ie/1404314.aspx,Faiche an Aonaigh,The Fairgreen,bilingual,SR,street,Mayo | Sligo,Mayo | Sligo,CON:Mayo | BAR:Costello | CON:Sligo | PAR:Kilbeagh | CBA:Sligo–Drumcliff | B:Charlestown | TR:Collooney,53.9616009668247,-8.79823366463184,True,street_hierarchy_conflict_review
1406168,https://www.logainm.ie/1406168.aspx,Cluain Broc,Cluainbroc,bilingual,SR,street,Roscommon | Westmeath,Roscommon | Westmeath,CON:Westmeath | BAR:Brawny | PAR:Saint Mary's | B:Athlone | CON:Roscommon,53.4186235765928,-7.9820230696711905,True,street_hierarchy_conflict_review
1406174,https://www.logainm.ie/1406174.aspx,Dún na Lochlannach,Danesfort,bilingual,SR,street,Roscommon | Westmeath,Roscommon | Westmeath,CON:Westmeath | BAR:Brawny | PAR:Saint Mary's | B:Athlone | CON:Roscommon,53.4192071052974,-7.9783220825929,True,street_hierarchy_conflict_review
1406184,https://www.logainm.ie/1406184.aspx,Gort na Manach,Monksfield,bilingual,SR,street,Roscommon | Westmeath,Roscommon | Westmeath,CON:Westmeath | BAR:Brawny | PAR:Saint Mary's | B:Athlone | CON:Roscommon,53.4258682330272,-8.00398719362673,True,street_hierarchy_conflict_review
1406197,https://www.logainm.ie/1406197.aspx,Baile an Uisce,Waterville,bilingual,SR,street,Roscommon | Westmeath,Roscommon | Westmeath,CON:Westmeath | BAR:Brawny | PAR:Saint Mary's | B:Athlone | CON:Roscommon,53.4264253314131,-8.00598839173747,True,street_hierarchy_conflict_review
1409430,https://www.logainm.ie/1409430.aspx,Droichead Chnoc an Ghainimh,Knockaginny Bridge,bilingual,DR,bridge,Monaghan | Tyrone,Monaghan | Tyrone,CON:Monaghan | CON:Tyrone | BAR:Trough | BAR:Dungannon Lower | PAR:Donagh | PAR:Aghaloo | BF:Killyrean Upper | BF:Monmurry | BF:Knockaginny,54.3507791089111,-6.897620046847656,True,plausible_cross_boundary_feature
1409431,https://www.logainm.ie/1409431.aspx,Droichead an Eanaigh Rua,Annaghroe Bridge,bilingual,DR,bridge,Monaghan | Tyrone,Monaghan | Tyrone,CON:Monaghan | CON:Tyrone | BAR:Trough | BAR:Dungannon Lower | PAR:Donagh | PAR:Aghaloo | BF:Corraghdown | BF:Leek | BF:Annaghroe,54.33847003817757,-6.875404940595206,True,plausible_cross_boundary_feature
1410314,https://www.logainm.ie/1410314.aspx,Sléibhte Bhaile Átha Cliath | Sléibhte Chill Mhantáin | An Sliabh Rua,Dublin Mountains | Wicklow Mountains,bilingual,SL,mountain or mountain range,Dublin | Wicklow,Dublin | Wicklow,CON:Dublin | CON:Wicklow,0,0,False,plausible_cross_boundary_feature
1410404,https://www.logainm.ie/1410404.aspx,An Currach Mór,Curraghmore | Curraghmore Meadows,bilingual,RIASC,marsh,Cavan | Monaghan,Cavan | Monaghan,CON:Cavan | CON:Monaghan | BAR:Clankee | BAR:Farney | PAR:Shercock | PAR:Magheross | BF:Croley | BF:Lisdrumfad | BF:Lisdrumskea | B:Shercock | BF:Corcreeghagh,53.9891891708589,-6.902189921563901,True,plausible_cross_boundary_feature
1410559,https://www.logainm.ie/1410559.aspx,Abhainn Áth na Broiscí,Aughnabrisky River,bilingual,ABH,river,Carlow | Wexford,Carlow | Wexford,CON:Carlow | CON:Wexford | BAR:Idrone East | BAR:Scarawalsh | PAR:Ballyellin | PAR:Templeshanbo,52.61331844254191,-6.790588663515221,True,plausible_cross_boundary_feature
1410688,https://www.logainm.ie/1410688.aspx,Abhainn Pholl an Mhóintigh,Pollmounty River | Poulmounty River,bilingual,ABH,river,Carlow | Wexford,Carlow | Wexford,CON:Carlow | CON:Wexford | BAR:Saint Mullin's Lower | BAR:Bantry | PAR:Saint Mullin's | PAR:Saint Mullin's,52.49734225951441,-6.88254791966991,True,plausible_cross_boundary_feature
1410691,https://www.logainm.ie/1410691.aspx,Droichead Bhéal Átha na Cora,Ballynacarry Bridge,bilingual,DR,bridge,Armagh | Monaghan,Armagh | Louth | Monaghan,CON:Armagh | CON:Monaghan | BAR:Farney | BAR:Fews Upper | CBA:Carrickmacross–Castleblayney | PAR:Donaghmoyne | PAR:Creggan | TR:Broomfield | BF:Ardkirk | BF:Ballynacarry,54.06912700974085,-6.66447087842725,True,plausible_cross_boundary_feature
1410766,https://www.logainm.ie/1410766.aspx,Diméin Liamhna,Lyons Demesne,bilingual,SR,street,Dublin | Kildare,Dublin | Kildare,CON:Dublin | BAR:Newcastle | CON:Kildare | CR:South Dublin,0,0,False,street_hierarchy_conflict_review
1410870,https://www.logainm.ie/1410870.aspx,,Cloggagh Lough,english_only,L,lake or lakes,Cavan | Meath,Cavan | Meath,CON:Cavan | CON:Meath | BAR:Clankee | BAR:Kells Lower | CBA:Kells | PAR:Moybolgue | PAR:Moybolgue | TR:Moybolgue | BF:Aghnaclue | BF:Cormeen,53.8609564419806,-6.924786662490309,True,plausible_cross_boundary_feature
1410947,https://www.logainm.ie/1410947.aspx,,Askabawn,english_only,SRUTHAN,stream,Dublin | Wicklow,Dublin | Wicklow,CON:Dublin | CON:Wicklow | BAR:Uppercross | BAR:Rathdown | PAR:Tallaght | PAR:Powerscourt | BF:Castlekelly | BF:Oldboleys,53.2091478706687,-6.28899962424105,True,plausible_cross_boundary_feature
1410951,https://www.logainm.ie/1410951.aspx,,Barnacreely,english_only,BEAR,pass,Dublin | Wicklow,Dublin | Wicklow,CON:Dublin | BAR:Uppercross | CON:Wicklow | BAR:Talbotstown Lower | PAR:Tallaght | PAR:Kilbride | BF:Castlekelly | BF:Shankill | ID:Glenasmole,53.203992933224804,-6.370036262869251,True,plausible_cross_boundary_feature
1410988,https://www.logainm.ie/1410988.aspx,Calaí na Sionainne,River Shannon Callows,bilingual,D,locality,Galway | Offaly,Galway | Offaly,CON:Galway | CON:Offaly,0,0,False,plausible_cross_boundary_feature
1410997,https://www.logainm.ie/1410997.aspx,Coimpléasc Chuan na Gaillimhe,Galway Bay Complex,bilingual,BA,bay,Clare | Galway,Clare | Galway,CON:Clare | CON:Galway,0,0,False,plausible_cross_boundary_feature
1411006,https://www.logainm.ie/1411006.aspx,Portach Loch an Tóraic Theas,Loughatorick South Bog,bilingual,POR,bog,Clare | Galway,Clare | Galway,CON:Clare | CON:Galway | BAR:Tulla Upper | BAR:Leitrim | PAR:Moynoe | PAR:Ballynakill | BF:Pollagoona Mountain | BF:Loughatorick South,53.00759114791461,-8.51836388093244,True,plausible_cross_boundary_feature
1411023,https://www.logainm.ie/1411023.aspx,Loch an Tearmainn,Termon Lough,bilingual,L,lake or lakes,Clare | Galway,Clare | Galway,CON:Galway | BAR:Kiltartan | CBA:Loughrea | PAR:Beagh | PAR:Kilmacduagh | CON:Clare | TR:Beagh | BAR:Inchiquin | BF:Fiddaun | BF:Termon,53.02100993465919,-8.87923688783854,True,plausible_cross_boundary_feature
